feature,method,score,leak_risk
Ticker_QCOM,Pearson,0.0344,Low
Website_https://www.qualcomm.com,Pearson,0.0344,Low
state_CO,Pearson,0.0344,Low
prev_rank_124.0,Pearson,0.0344,Low
CEO_Cristiano Amon,Pearson,0.0344,Low
company_Qualcomm,Pearson,0.0344,Low
sector_Media,Pearson,0.0343,Low
city_Austin,Pearson,0.0335,Low
sector_Energy,Pearson,0.0335,Low
city_McLean,Pearson,0.0331,Low
Ticker_MCK,Pearson,0.0328,Low
company_McKesson,Pearson,0.0328,Low
prev_rank_7.0,Pearson,0.0328,Low
CEO_Brian S. Tyler,Pearson,0.0328,Low
Website_www.mckesson.com,Pearson,0.0328,Low
Website_https://www.mastercard.com,Pearson,0.0326,Low
company_Mastercard,Pearson,0.0326,Low
Ticker_MA,Pearson,0.0326,Low
prev_rank_201.0,Pearson,0.0326,Low
CEO_Michael Miebach,Pearson,0.0326,Low
Ticker_WE,Pearson,0.0323,Low
CEO_Sandeep Mathrani,Pearson,0.0323,Low
Website_https://www.wework.com,Pearson,0.0323,Low
company_WeWork,Pearson,0.0323,Low
state_AZ,Pearson,0.0315,Low
Ticker_LOW,Pearson,0.0314,Low
state_NV,Pearson,0.0314,Low
company_Lowe's,Pearson,0.0314,Low
prev_rank_31.0,Pearson,0.0314,Low
CEO_Marvin R. Ellison,Pearson,0.0314,Low
Website_www.lowes.com,Pearson,0.0314,Low
city_Mooresville,Pearson,0.0314,Low
sector_Health Care,Pearson,0.0311,Low
CEO_David L. Calhoun,Pearson,0.0311,Low
Ticker_BA,Pearson,0.0311,Low
Website_www.boeing.com,Pearson,0.0311,Low
company_Boeing,Pearson,0.0311,Low
prev_rank_54.0,Pearson,0.0311,Low
state_WI,Pearson,0.031,Low
city_Purchase,Pearson,0.0301,Low
city_Tarrytown,Pearson,0.0296,Low
CEO_Leonard Schleifer,Pearson,0.0296,Low
company_Regeneron Pharmaceuticals,Pearson,0.0296,Low
Website_https://www.regeneron.com,Pearson,0.0296,Low
Website_www.conocophillips.com,Pearson,0.0296,Low
prev_rank_354.0,Pearson,0.0296,Low
company_ConocoPhillips,Pearson,0.0296,Low
Ticker_REGN,Pearson,0.0296,Low
Ticker_COP,Pearson,0.0296,Low
CEO_Ryan M. Lance,Pearson,0.0296,Low
prev_rank_156.0,Pearson,0.0296,Low
prev_rank_83.0,Pearson,0.0295,Low
Ticker_AXP,Pearson,0.0295,Low
company_American Express,Pearson,0.0295,Low
Website_www.americanexpress.com,Pearson,0.0295,Low
CEO_Stephen J. Squeri,Pearson,0.0295,Low
Ticker_USB,Pearson,0.029,Low
company_U.S. Bancorp,Pearson,0.029,Low
CEO_Andrew J. Cecere,Pearson,0.029,Low
prev_rank_113.0,Pearson,0.029,Low
Website_https://www.usbank.com,Pearson,0.029,Low
CEO_Karen Lynch,Pearson,0.0288,Low
Ticker_CVS,Pearson,0.0288,Low
company_CVS Health,Pearson,0.0288,Low
city_Woonsocket,Pearson,0.0288,Low
prev_rank_4.0,Pearson,0.0288,Low
Website_https://www.cvshealth.com,Pearson,0.0288,Low
state_MO,Pearson,0.0287,Low
sector_Transportation,Pearson,0.0286,Low
CEO_Richard K. Templeton,Pearson,0.0281,Low
prev_rank_210.0,Pearson,0.0281,Low
state_IL,Pearson,0.0281,Low
Ticker_TXN,Pearson,0.0281,Low
company_Texas Instruments,Pearson,0.0281,Low
Website_https://www.ti.com,Pearson,0.0281,Low
Website_https://www.thermofisher.com,Pearson,0.0279,Low
CEO_Charles F. Lowrey,Pearson,0.0279,Low
Ticker_PRU,Pearson,0.0279,Low
Ticker_TMO,Pearson,0.0279,Low
CEO_Marc Casper,Pearson,0.0279,Low
city_Chicago,Pearson,0.0279,Low
prev_rank_55.0,Pearson,0.0279,Low
company_Thermo Fisher Scientific,Pearson,0.0279,Low
Website_www.prudential.com,Pearson,0.0279,Low
prev_rank_95.0,Pearson,0.0279,Low
company_Prudential Financial,Pearson,0.0279,Low
city_Houston,Pearson,0.0278,Low
state_OH,Pearson,0.0277,Low
Website_www.pepsico.com,Pearson,0.0273,Low
company_PepsiCo,Pearson,0.0273,Low
CEO_Ramon L. Laguarta,Pearson,0.0273,Low
Ticker_PEP,Pearson,0.0273,Low
prev_rank_44.0,Pearson,0.0273,Low
company_McDonald's,Pearson,0.027,Low
Website_https://www.investor.mcdonalds.com,Pearson,0.027,Low
CEO_Christopher J. Kempczinski,Pearson,0.027,Low
prev_rank_157.0,Pearson,0.027,Low
Ticker_MCD,Pearson,0.027,Low
sector_Apparel,Pearson,0.027,Low
city_Denver,Pearson,0.0261,Low
city_St. Louis,Pearson,0.0258,Low
city_Boston,Pearson,0.0255,Low
Ticker_ABT,Pearson,0.0246,Low
prev_rank_89.0,Pearson,0.0246,Low
Website_www.abbott.com,Pearson,0.0246,Low
CEO_Robert B. Ford,Pearson,0.0246,Low
company_Abbott Laboratories,Pearson,0.0246,Low
city_Tempe,Pearson,0.0244,Low
company_Bristol-Myers Squibb,Pearson,0.0243,Low
CEO_Kathy J. Warden,Pearson,0.0243,Low
prev_rank_86.0,Pearson,0.0243,Low
Ticker_BMY,Pearson,0.0243,Low
Website_www.northropgrumman.com,Pearson,0.0243,Low
prev_rank_75.0,Pearson,0.0243,Low
Website_www.bms.com,Pearson,0.0243,Low
company_Northrop Grumman,Pearson,0.0243,Low
city_Falls Church,Pearson,0.0243,Low
Ticker_NOC,Pearson,0.0243,Low
CEO_Giovanni Caforio,Pearson,0.0243,Low
city_Las Vegas,Pearson,0.0242,Low
Ticker_HCA,Pearson,0.0241,Low
company_HCA Healthcare,Pearson,0.0241,Low
CEO_Samuel N. Hazen,Pearson,0.0241,Low
Website_www.hcahealthcare.com,Pearson,0.0241,Low
prev_rank_62.0,Pearson,0.0241,Low
Ticker_TGT,Pearson,0.024,Low
company_Target,Pearson,0.024,Low
Website_www.target.com,Pearson,0.024,Low
CEO_Brian C. Cornell,Pearson,0.024,Low
prev_rank_30.0,Pearson,0.024,Low
state_KS,Pearson,0.0236,Low
company_Nucor,Pearson,0.0234,Low
Website_www.nucor.com,Pearson,0.0234,Low
Ticker_NUE,Pearson,0.0234,Low
prev_rank_149.0,Pearson,0.0234,Low
CEO_Leon J. Topalian,Pearson,0.0234,Low
city_Cambridge,Pearson,0.0233,Low
company_Broadcom,Pearson,0.023,Low
Website_https://www.broadcom.com,Pearson,0.023,Low
CEO_Hock E. Tan,Pearson,0.023,Low
prev_rank_121.0,Pearson,0.023,Low
Ticker_AVGO,Pearson,0.023,Low
newcomer_yes,Pearson,0.0229,Low
state_TX,Pearson,0.0226,Low
company_MetLife,Pearson,0.0221,Low
CEO_Michel A. Khalaf,Pearson,0.0221,Low
Website_www.metlife.com,Pearson,0.0221,Low
Ticker_MET,Pearson,0.0221,Low
prev_rank_46.0,Pearson,0.0221,Low
